client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41917351.mp3	f5b06a0cc116cc84a88d483e0cf037b9bf55c0f012d043bc9fac9c6c72883a0c	The previous inauguration date was in early May.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41917353.mp3	f5b6a3047229b4fb0f2cabdc3e0c1dcfbac0497dd2ff77212542b3d70a664bac	Three subspecies are known.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41917366.mp3	f5960e65e7e15b847f09c0013cd388e62b188aaf22f1ac9943d85df88d874006	His passing away was barely noticed in the press.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41917496.mp3	f5bf93855f590c1818ce801c0202db4f0bb35c28b1011e355487ade9308f46a4	Cecilia herself presided over these discussions.		2	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41917529.mp3	f59fdf57bad1c3807f8e9b47ca8bf8de31b4f9e7cf1d297b017749b4785af362	In particular, even the smallest examples of noncommutative vertex algebras require significant introduction.		0	2	twenties	female_feminine	nigerian accent		en	
78899c686b3bdef6619b63f98b03d3f5fdf2ca7427d0ce6dace8a10befc17941b33c5b7b7c2a808f0c670e9560ad5da356b6f4b06407ce3e1a299787168c3b6a	common_voice_en_41918284.mp3	f574d2c3138f680ced71a556e799253a756380b0fe7ce6d5ea6f1da66def5111	Di Matteo left at the season's end for West Bromwich Albion.		0	2			India and South Asia (India, Pakistan, Sri Lanka)		en	
43f9ea590d441fa1cffa4852603cf48f4d3d339b321f3923f1d2df708b1f1f6fe04564e78b2f5831bd86ddf5d2dc250aed01b589126902d75d11702399587184	common_voice_en_41921443.mp3	f5aee8afc2b10838baa7beb6ad3ba2001a99aaada077d4d7482c26f5e476ed09	Morgan wrote the pilot for the popular Canadian sitcom, "King of Kensington".		3	3	twenties	female_feminine	United States English,Filipino		en	
aca627868889f3be90974df9e5b1207f96b4b4c8c4edbd02d7992681d5cc988490c8d59c21342b2850ff33555e7c497104b5e3bfba3c6fa9ad2f4c57566dd691	common_voice_en_41923257.mp3	f5a468d8aceafa85d0025210fe3017d074e07226132e0e3478770ebd69fd2bae	Its title derives from the theological tradition of the "philosophia perennis".		0	2	thirties		Malaysian English		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41928451.mp3	f5d1bd705e681837532424a7c855980f94cda7bcd60b47c972b3a379310bfe6d	Many of its members were prominent clergymen.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41928518.mp3	f5d476f343605a1c70ab4ca518561d7be72373703234b306a51e3b3c5d59f0c7	One copy is delayed by a known amount relative to the other.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41928646.mp3	f5c5965f40756bc00b6ee78001e78078bf2294b1f28662ae06c94ceb7f534e63	The term dual-booting refers to the common configuration of specifically two operating systems.		0	2	twenties	female_feminine	nigerian accent		en	
403c1ec9623855b620b043ca2ca76c02989e679e32ba27b258392b5b58382c5d906fe56dfca7f5c416bc57def7d8028826c6c8ce8606332d876484126fa1aed6	common_voice_en_41928694.mp3	f5d2e87da741763679ff5089479cd60851391b40364d226ce1edd2bc22040299	Dolly grips may also push a wheeled platform holding the microphone and boom operator.		0	2	twenties	female_feminine	nigerian accent		en	
